characters_araber;Araber_verkleidet
sequences_ermittler_top_a01_ermittler_constabler_tseq#8;[Ohi looks back to the guard.]
texts_ermittler_top_a01_ermittler_eigene_ermittlungen_tseq_title;Personal investigations
spokentexts_ermittler_top_a01_ermittler_eigene_ermittlungen_tseq_st_1_direction;formally
spokentexts_ermittler_top_a01_ermittler_eigene_ermittlungen_tseq_st_1;I hope you'll acknowledge that I, as a Swiss policeman, can undertake investigations in my own country?
sequences_ermittler_top_a01_ermittler_eigene_ermittlungen_tseq#1;[The investigator does, as if trying to look through the metal shielding to the outside.]
spokentexts_ermittler_top_a01_ermittler_eigene_ermittlungen_tseq_st_2;Are we still in Switzerland?
spokentexts_ermittler_top_a01_ermittler_eigene_ermittlungen_tseq_st_3;I could be your eyes on the train as long as you're here in the freight car.
spokentexts_ermittler_top_a01_ermittler_eigene_ermittlungen_tseq_st_4_direction;doubtful, suspicious
spokentexts_ermittler_top_a01_ermittler_eigene_ermittlungen_tseq_st_4;Oh really?
texts_ermittler_top_a01_ermittler_falle_tseq_title;Trap
spokentexts_ermittler_top_a01_ermittler_falle_tseq_st_1;You want to set a trap for someone?
spokentexts_ermittler_top_a01_ermittler_falle_tseq_st_2;Then I was right!
spokentexts_ermittler_top_a01_ermittler_falle_tseq_st_3;You really do want to lure someone into a trap!
spokentexts_ermittler_top_a01_ermittler_falle_tseq_st_4;That's none of your business!
sequences_ermittler_top_a01_ermittler_falle_tseq#6;[The investigator rise a hand and brings the guard so to silence.]
spokentexts_ermittler_top_a01_ermittler_falle_tseq_st_5;Perhaps that someone recently struck in London?
spokentexts_ermittler_top_a01_ermittler_falle_tseq_st_6;And how would I bait my trap, then?
spokentexts_ermittler_top_a01_ermittler_falle_tseq_st_7;With an Eye?
spokentexts_ermittler_top_a01_ermittler_falle_tseq_st_8;An Eye on its way from Zurich to Cairo?
spokentexts_ermittler_top_a01_ermittler_falle_tseq_st_9;Someone has done his homework! Well done, Constable.
spokentexts_ermittler_top_a01_ermittler_falle_tseq_st_10_direction;unsure
spokentexts_ermittler_top_a01_ermittler_falle_tseq_st_10;With something inside the safe!
spokentexts_ermittler_top_a01_ermittler_falle_tseq_st_11_direction;played disappointed
spokentexts_ermittler_top_a01_ermittler_falle_tseq_st_11;Tut tut... Someone hasn't done his homework
texts_ermittler_top_a01_ermittler_kabine_archaeologe_geloest_tseq_title;Archaeologist's compartment
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_tseq_st_1;There is a certain Professor Lucien on the train.
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_tseq_st_2;He's an archaeologist from London.
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_tseq_st_3_direction;interested
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_tseq_st_3;And what's his story?
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_geloest_tseq_st_4;Well... It seems someone locked him out of his compartment.
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_tseq_st_5_direction;irritated
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_tseq_st_5;Locked him out?
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_geloest_tseq_st_6;Well, yes. The door was locked and he was standing outside.
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_geloest_tseq_st_7;He claimed that he hadn't locked himself out.
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_geloest_tseq_st_8;Did you help him?
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_geloest_tseq_st_9;I did.
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_geloest_tseq_st_10;I got Professor Lucien into his compartment using a pair of pliers.
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_geloest_tseq_st_11;Did you notice anything inside the compartment?
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_geloest_tseq_st_12;The window was open. Someone could have climbed out.
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_geloest_tseq_st_13;And the professor?
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_geloest_tseq_st_14;Acted suspiciously. He rummaged around in his leather bag.
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_geloest_tseq_st_15_direction;curious
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_geloest_tseq_st_15;And?
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_geloest_tseq_st_16;He seemed to have found what he was searching for.
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_geloest_tseq_st_17_direction;half to himself
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_geloest_tseq_st_17;Good.
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_geloest_tseq_st_18;Good work!
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_geloest_tseq_st_19;Now, perhaps you could give me some information?
texts_ermittler_top_a01_ermittler_kabine_archaeologe_tseq_title;Archaeologist's compartment
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_tseq_st_4;Well... It seems someone locked him out of his compartment.
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_tseq_st_6;Well, yes. The door is locked and he's standing outside without a key.
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_tseq_st_7;Was it locked from inside?
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_tseq_st_8;It may have been.
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_tseq_st_9_direction;thoughtful, a little worried
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_tseq_st_9;Hmm.
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_tseq_st_10;Do you think the locked door could be important?
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_tseq_st_11;Professor Lucien plays an important role in this story...
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_tseq_st_12;Well then, Constable Zellner. Be my eyes and ears on the train and see that Professor Lucien gets back into his compartment.
sequences_ermittler_top_a01_ermittler_kabine_archaeologe_tseq#12;[As he speaks, a short cut on Öhis face that brightens. He is pleased. Then cut to the guard, who is obviously not agree now to get a competition.]
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_tseq_st_13;Report back to me when you're through.
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_tseq_st_14_direction;pleased
spokentexts_ermittler_top_a01_ermittler_kabine_archaeologe_tseq_st_14;My pleasure, monsieur!
texts_ermittler_top_a01_ermittler_verabschieden_erstmalig_tseq_title;Say goodbye
spokentexts_ermittler_top_a01_ermittler_verabschieden_erstmalig_tseq_st_1;I'll go attend to the door now.
spokentexts_ermittler_top_a01_ermittler_verabschieden_erstmalig_tseq_st_2;Good.
sequences_ermittler_top_a01_ermittler_verabschieden_erstmalig_tseq#2;[Ohi is turning half, wants to get out.]
spokentexts_ermittler_top_a01_ermittler_verabschieden_erstmalig_tseq_st_3;And... Constable Zellner?
sequences_ermittler_top_a01_ermittler_verabschieden_erstmalig_tseq#4;[Ohi stops, turns around.]
spokentexts_ermittler_top_a01_ermittler_verabschieden_erstmalig_tseq_st_4;Yes?
spokentexts_ermittler_top_a01_ermittler_verabschieden_erstmalig_tseq_st_5;Don't bother us unless you have something new to report.
spokentexts_ermittler_top_a01_ermittler_verabschieden_erstmalig_tseq_st_6;Of course. A thief might get anxious if there's too much activity in the freight car.
spokentexts_ermittler_top_a01_ermittler_verabschieden_erstmalig_tseq_st_7;Exactement. Knock twice. Then we'll know that it's you.
spokentexts_ermittler_top_a01_ermittler_verabschieden_erstmalig_tseq_st_8;Understood.
sequences_ermittler_top_a01_ermittler_verabschieden_erstmalig_tseq#10;[Ohi leaves the wagon.]
texts_ermittler_top_a01_ermittler_verabschieden_tseq_title;Say goodbye
spokentexts_ermittler_top_a01_ermittler_verabschieden_tseq_st_1;I'll get back to work now.
spokentexts_ermittler_top_a01_ermittler_verabschieden_tseq_st_2;Good.
sequences_ermittler_top_a01_ermittler_verabschieden_tseq#2;[Ohi leaves the wagon.]
texts_ermittler_top_a01_ermittler_verschwundene_brieftasche1_tseq_title;Wallet
spokentexts_ermittler_top_a01_ermittler_verschwundene_brieftasche1_tseq_st_1;And then there's the baroness. She's missing her purse.
spokentexts_ermittler_top_a01_ermittler_verschwundene_brieftasche1_tseq_st_2;Baroness von Trebitz told me that she's missing her purse.
spokentexts_ermittler_top_a01_ermittler_verschwundene_brieftasche1_tseq_st_3;Baroness von Trebitz?
sequences_ermittler_top_a01_ermittler_verschwundene_brieftasche1_tseq#3;[Investigator is looking at the guard.]
spokentexts_ermittler_top_a01_ermittler_verschwundene_brieftasche1_tseq_st_4;Interesting...
spokentexts_ermittler_top_a01_ermittler_verschwundene_brieftasche1_tseq_st_5;Indeed, Sir.
sequences_ermittler_top_a01_ermittler_verschwundene_brieftasche1_tseq#6;[Investigator looks back to Ohi.]
spokentexts_ermittler_top_a01_ermittler_verschwundene_brieftasche1_tseq_st_6_direction;thoughtfully
spokentexts_ermittler_top_a01_ermittler_verschwundene_brieftasche1_tseq_st_6;But... It has nothing to do with our case.
spokentexts_ermittler_top_a01_ermittler_verschwundene_brieftasche1_tseq_st_7;So I shouldn't concern myself with the matter?
spokentexts_ermittler_top_a01_ermittler_verschwundene_brieftasche1_tseq_st_8;Ah, why not? It's your job as a policeman.
spokentexts_ermittler_top_a01_ermittler_verschwundene_brieftasche1_tseq_st_9;But don't expect me to be particularly interested in a lost purse.
texts_ermittler_top_a01_ermittler_verschwundene_brieftasche2_tseq_title;Purse
spokentexts_ermittler_top_a01_ermittler_verschwundene_brieftasche2_tseq_st_1;And then there's the baroness. She's missing her purse.
spokentexts_ermittler_top_a01_ermittler_verschwundene_brieftasche2_tseq_st_2;Baroness von Trebitz told me about her missing purse...
spokentexts_ermittler_top_a01_ermittler_verschwundene_brieftasche2_tseq_st_3;Baroness von Trebitz?
sequences_ermittler_top_a01_ermittler_verschwundene_brieftasche2_tseq#3;[Investigators looks to the guard.]
spokentexts_ermittler_top_a01_ermittler_verschwundene_brieftasche2_tseq_st_4;She is financing everything, isn't she?
spokentexts_ermittler_top_a01_ermittler_verschwundene_brieftasche2_tseq_st_5;Indeed, Sir.
spokentexts_ermittler_top_a01_ermittler_verschwundene_brieftasche2_tseq_st_6;I found the purse, David Kreutzer, a violinist from Austria, had it.
sequences_ermittler_top_a01_ermittler_verschwundene_brieftasche2_tseq#7;[Investigator looks back to Ohi.]
spokentexts_ermittler_top_a01_ermittler_verschwundene_brieftasche2_tseq_st_7;Hmm. Probably nothing to do with our case... All the same, good work.
texts_geiger_mo_ex_4;Observe the violinist
texts_geiger_mo_talk_mit_1-7;Talk to the violinist
texts_geiger_top_a01_geiger_brieftasche_gesehen01_tseq_title;The baroness' purse
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen01_tseq_st_1;A passenger is missing her purse. Perhaps you've seen it?
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen01_tseq_st_2;I haven't left my seat.
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen01_tseq_st_3;So there are thieves on the train!
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen01_tseq_st_4;It's been missing for some time now. Probably since Zurich.
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen01_tseq_st_5;Hahaha! The Swiss don't let go of money easily, do they?
sequences_geiger_top_a01_geiger_brieftasche_gesehen01_tseq#7;[Ohi looks slightly reproachfully.]
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen01_tseq_st_6;Oh, pardon me.
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen01_tseq_st_7;No, I haven't seen the purse.
texts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_title;The baroness' purse
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_1;About the purse...
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_2;Oh, yes. Has it been found?
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_3;A passenger is missing her purse. Perhaps it was stolen.
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_4;Really?
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_5;Someone saw you with your violin case on the platform in Zurich...
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_6_direction;indignant
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_6;What's the meaning of this! I didn't steal anything!
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_7_direction;surprised, irritated
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_7;Nobody said you did!
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_8;I just wanted to ask you whether you might have noticed anything on the platform.
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_9;Ah... Well...
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_10;Why did you think I was accusing you?
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_11;Well, I thought... Because you mentioned my violin case in the context of the purse...
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_12;Apropos. May I have a look at your violin? It must be a very extraordinary piece!
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_13;Oh, that's... That's not possible. It's a genuine Guarneri.
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_14_direction;throws in short
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_14;Very valuable!
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_15;Very! And also very sensitive.
sequences_geiger_top_a01_geiger_brieftasche_gesehen02_tseq#17;[Ohi looks around.]
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_16_direction;blankly
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_16;What could harm it here? Light? Air?
sequences_geiger_top_a01_geiger_brieftasche_gesehen02_tseq#19;[The Geiger does not know what to say.]
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_17_direction;sternly
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_17;May I ask you to open the violin case?
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_18;No, you may not! I'm not guilty of anything!
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_20;I am afraid I have to insist.
spokentexts_geiger_top_a01_geiger_brieftasche_gesehen02_tseq_st_21;Then I'm afraid you need a warrant. I will not stand back and let you rifle through my belongings!
sequences_geiger_top_a01_geiger_brieftasche_gesehen02_tseq#25;[The Geiger turns back to the window, the dialog is closed.]
texts_geiger_top_a01_geiger_ende_tseq_title;Say goodbye
spokentexts_geiger_top_a01_geiger_ende_tseq_st_3;Very well.
spokentexts_geiger_top_a01_geiger_ende_tseq_st_4_direction;as adoption
spokentexts_geiger_top_a01_geiger_ende_tseq_st_4;Have a good trip!
spokentexts_geiger_top_a01_geiger_ende_tseq_st_5;Thank you.
sequences_geiger_top_a01_geiger_ende_tseq#7;[The Geiger returns to its idle.]
texts_geiger_top_a01_geiger_ungewoehnliches_gesehen_tseq_title;Unusual occurrences
spokentexts_geiger_top_a01_geiger_ungewoehnliches_gesehen_tseq_st_1_direction;embarrassed, tried to bring the conversation back in transition
spokentexts_geiger_top_a01_geiger_ungewoehnliches_gesehen_tseq_st_1;Oh... Of course.
spokentexts_geiger_top_a01_geiger_ungewoehnliches_gesehen_tseq_st_2;What I really wanted to ask is: did you notice anything unusual on the train?
spokentexts_geiger_top_a01_geiger_ungewoehnliches_gesehen_tseq_st_3;I'm sure your recital will be a great success!
spokentexts_geiger_top_a01_geiger_ungewoehnliches_gesehen_tseq_st_4;But tell me... Did you notice anything unusual on the train?
spokentexts_geiger_top_a01_geiger_ungewoehnliches_gesehen_tseq_st_5;Anything unusual?
spokentexts_geiger_top_a01_geiger_ungewoehnliches_gesehen_tseq_st_6;Persons acting suspiciously, for instance.
spokentexts_geiger_top_a01_geiger_ungewoehnliches_gesehen_tseq_st_7;For heaven's sake! Is there cause for concern?
spokentexts_geiger_top_a01_geiger_ungewoehnliches_gesehen_tseq_st_8;Everything is in order, sir. We Swiss are just very cautious people.
spokentexts_geiger_top_a01_geiger_ungewoehnliches_gesehen_tseq_st_9;I understand... No. I didn't notice anything.
texts_geiger_top_a01_geiger_wer_ist_er_tseq_title;Who is he?
spokentexts_geiger_top_a01_geiger_wer_ist_er_tseq_st_1;If I'm not mistaken, you're a violinist?
spokentexts_geiger_top_a01_geiger_wer_ist_er_tseq_st_2;That's true.
spokentexts_geiger_top_a01_geiger_wer_ist_er_tseq_st_3;A wonderful instrument! The violin music touches the soul.
sequences_geiger_top_a01_geiger_wer_ist_er_tseq#3;[The Geiger smiles and remembers better times.]
spokentexts_geiger_top_a01_geiger_wer_ist_er_tseq_st_4;That's why I learned to play it.
spokentexts_geiger_top_a01_geiger_wer_ist_er_tseq_st_5;Do you play in an orchestra?
spokentexts_geiger_top_a01_geiger_wer_ist_er_tseq_st_6;No. Orchestras aren't really part of my world.
spokentexts_geiger_top_a01_geiger_wer_ist_er_tseq_st_7;A solo violinist! The best soloists travel a great deal and make a pile of money, or so they say.
sequences_geiger_top_a01_geiger_wer_ist_er_tseq#9;[The face of the geiger petrifies.]
spokentexts_geiger_top_a01_geiger_wer_ist_er_tseq_st_9_direction;petrified, slightly bitter
spokentexts_geiger_top_a01_geiger_wer_ist_er_tseq_st_9;In that case, I'm probably not one of the best.
texts_geiger_top_a01_geiger_wohin_reist_er_tseq_title;Where is he travelling to?
spokentexts_geiger_top_a01_geiger_wohin_reist_er_tseq_st_1_direction;embarrassed, tried to bring the conversation back in transition
spokentexts_geiger_top_a01_geiger_wohin_reist_er_tseq_st_1;Oh... So, you're travelling to Istanbul?
spokentexts_geiger_top_a01_geiger_wohin_reist_er_tseq_st_2;Are you travelling to Istanbul non-stop?
spokentexts_geiger_top_a01_geiger_wohin_reist_er_tseq_st_3;No. I'll transfer in Venice.
sequences_geiger_top_a01_geiger_wohin_reist_er_tseq#6;[Ohi is slightly irritated.]
spokentexts_geiger_top_a01_geiger_wohin_reist_er_tseq_st_5_direction;explaines
spokentexts_geiger_top_a01_geiger_wohin_reist_er_tseq_st_5;To a ship. I'm on my way to Cairo.
spokentexts_geiger_top_a01_geiger_wohin_reist_er_tseq_st_6_direction;excited
spokentexts_geiger_top_a01_geiger_wohin_reist_er_tseq_st_6;Cairo!
spokentexts_geiger_top_a01_geiger_wohin_reist_er_tseq_st_7;I'm performing at a reception in the Egyptian Museum there.
spokentexts_geiger_ex_1_st_1;The violinist is a good looking fellow. And he's travelling through the most beautiful mountain landscape in the world.
spokentexts_geiger_ex_1_st_2;But one can only hope that his violin is better tuned than he.
spokentexts_geiger_ex_2_st_1;There could be many reasons for the violinist's shaking hand. Strained nerves, an illness...
spokentexts_geiger_ex_2_st_2;My money's on alcohol. He wouldn't be the first musician who ruined his career that way.
spokentexts_geiger_ex_3_st_1;Matt says the violinist put something in his violin case on the platform. Seemed suspicious somehow.
spokentexts_geiger_ex_3_st_2;The question is, how credible is a statement from an imaginative boy?
spokentexts_geiger_ex_4_st_1;There's no way to say whether he planned on stealing the purse or whether chance played a role.
spokentexts_geiger_ex_4_st_2;Financial problems, lack of morals... Opportunity makes a thief.
spokentexts_geiger_ex_5_st_1;The violinist doesn't seem to be very happy about the window.
spokentexts_geiger_ex_6_st_1;I'll inform the authorities in Venice. They'll decide what to do with him.
spokentexts_geiger_ex_7_st_1;The window is jammed!
spokentexts_geiger_ex_7_st_2;But I should hurry. Sooner or later he'll resort to brute force and succeed!
sequences_geiger_talk_mit_1#1;[Idle as the Geiger thoughtfully sits on his place and looks out the window, maybe he's lying with one are on the window and supports his head with his hand. He looks out the window melancholy. Two idle variations. In one example, he could hand rub (as if it were cold / deaf). In the other he could e.g. short stop to look out the window and look down the aisle instead and scratching it.]
sequences_geiger_talk_mit_1#2;[Ohi goes towards the Geiger.]
sequences_geiger_talk_mit_1#3;[Cut to the hand of the Geiger in closeup.]
sequences_geiger_talk_mit_1#4;"[From Idle out the Geiger consideres his trembling hand (""Has it been that bad?"") Clenches, and then shuts the eye (""Pull yourself together""). He opens his eyes, noted that Ohi has approached him and looks at him.]"
spokentexts_geiger_talk_mit_1_st_1;Hello, sir.
spokentexts_geiger_talk_mit_1_st_2;Hello.
sequences_geiger_talk_mit_1#7;[The Geiger goes in talk-Status]
spokentexts_geiger_talk_mit_2_st_1;If I may trouble you once more...
sequences_geiger_talk_mit_2#2;[The Geiger goes in talk-Status]
sequences_geiger_talk_mit_2#3;[A dialogue between Ohi and the Geiger begins.]
spokentexts_geiger_talk_mit_3b_st_1;I don't know what more to ask. He hasn't noticed anything suspicious.
spokentexts_geiger_talk_mit_4_st_1;Excuse me, sir...
sequences_geiger_talk_mit_4#2;[The Geiger looks bad at Ohi.]
spokentexts_geiger_talk_mit_4_st_2;No, I will not excuse you. I told you that I want the window closed and you opened it again!
spokentexts_geiger_talk_mit_4_st_3;But just because...
spokentexts_geiger_talk_mit_4_st_4;It seems I cannot cure people of their insolence.
spokentexts_geiger_talk_mit_4_st_5;But at least I can refuse to speak to them!
sequences_geiger_talk_mit_4#7;[The Geiger turns away from Ohi, don't want to talk no more.]
spokentexts_geiger_talk_mit_5_st_1;Not a chance. He won't talk to me anymore.
spokentexts_geiger_talk_mit_6_st_1;Hello, sir.
spokentexts_geiger_talk_mit_6_st_2;The window stays closed!
spokentexts_geiger_talk_mit_6_st_3;I didn't come because of the window. I'd like to take a look at your violin case.
spokentexts_geiger_talk_mit_6_st_4_direction;indignant
spokentexts_geiger_talk_mit_6_st_4;This is all too much!
spokentexts_geiger_talk_mit_6_st_5;First the fuss about the window and now you want to look in my violin case?
spokentexts_geiger_talk_mit_6_st_6;Well that's how it is.
spokentexts_geiger_talk_mit_6_st_7;Absolutely not!
spokentexts_geiger_talk_mit_6_st_8;Get yourself a warrant or whatever it's called. Until then: adieu!
spokentexts_geiger_talk_mit_6_st_9;But...
spokentexts_geiger_talk_mit_6_st_10;Adieu!
spokentexts_geiger_talk_mit_7a_st_1;The violinist is uncooperative. I'm not authorized to search his belongings against his will and without a good reason... and he knows it.
spokentexts_geiger_talk_mit_7a_st_2;I have to come up with something.
spokentexts_geiger_talk_mit_8_st_1;Excuse me, sir!
texts_junge_benutzt_karamellbonbons;Give Matt a butterscotch
texts_junge_mo_ex_1;Examine Matt
texts_junge_mo_talk_mit_1-4;Talk to Matt
texts_junge_top_a01_junge_ablenken_ja_tseq_title;Yes, distract him.
spokentexts_junge_top_a01_junge_ablenken_ja_tseq_st_1;Hmm. What do you suggest?
spokentexts_junge_top_a01_junge_ablenken_ja_tseq_st_2;I... I could tell him that there's a suitcase full of money in the next carriage. If he's a thief, he'll definitely want to take a look at it.
spokentexts_junge_top_a01_junge_ablenken_ja_tseq_st_3;I don't think he'll fall for that.
spokentexts_junge_top_a01_junge_ablenken_ja_tseq_st_4;Or I could insult him and then run away. He'll try to catch me and you'll have a chance to look in the violin case.
spokentexts_junge_top_a01_junge_ablenken_ja_tseq_st_5_direction;ihm wird klar, dass er einen Fehler gemacht hat
spokentexts_junge_top_a01_junge_ablenken_ja_tseq_st_5;Now that I think about it, this is something I have to attend to on my own. It would be expecting a bit much from a little boy.
spokentexts_junge_top_a01_junge_ablenken_ja_tseq_st_6_direction;indignant
spokentexts_junge_top_a01_junge_ablenken_ja_tseq_st_6;Little boy?! You must be kidding!
spokentexts_junge_top_a01_junge_ablenken_ja_tseq_st_7;Sorry, er sheriff. But your idea about distracting him is good all the same.
texts_junge_top_a01_junge_ablenken_nein_tseq_title;No, too dangerous.
spokentexts_junge_top_a01_junge_ablenken_nein_tseq_st_1;No, I'm sorry. That's police work.
spokentexts_junge_top_a01_junge_ablenken_nein_tseq_st_2_direction;protests
spokentexts_junge_top_a01_junge_ablenken_nein_tseq_st_2;But I'm a sheriff!
spokentexts_junge_top_a01_junge_ablenken_nein_tseq_st_3;But this isn't the Wild West. They'd flay me alive if I dragged a little boy into the investigation.
spokentexts_junge_top_a01_junge_ablenken_nein_tseq_st_4_direction;indignant
spokentexts_junge_top_a01_junge_ablenken_nein_tseq_st_4;Little boy?! You must be kidding!
spokentexts_junge_top_a01_junge_ablenken_nein_tseq_st_5;Sorry, sheriff. But your idea about distracting him is good all the same.
sequences_junge_top_a01_junge_ablenken_nein_tseq#5;[The conversation is over.]
texts_junge_top_a01_junge_lady_mestmacott_tseq_title;Lady Westmacott
spokentexts_junge_top_a01_junge_lady_mestmacott_tseq_st_1;Your mother is Lady Westmacott's companion, correct?
spokentexts_junge_top_a01_junge_lady_mestmacott_tseq_st_2;Yeah, but it's not like you think.
spokentexts_junge_top_a01_junge_lady_mestmacott_tseq_st_3;"At first I thought, ""Boy, you must really be wicked if you need to pay for friends!"""
spokentexts_junge_top_a01_junge_lady_mestmacott_tseq_st_4;But the lady's really OK.
spokentexts_junge_top_a01_junge_lady_mestmacott_tseq_st_5;She's a bit odd. And really old.
spokentexts_junge_top_a01_junge_lady_mestmacott_tseq_st_6;But other than that, she's great! She likes me.
spokentexts_junge_top_a01_junge_lady_mestmacott_tseq_st_7;The lady has peculiar taste.
spokentexts_junge_top_a01_junge_lady_mestmacott_tseq_st_8_direction;lachend, protestierend
spokentexts_junge_top_a01_junge_lady_mestmacott_tseq_st_8;Hey!
texts_junge_top_a01_junge_machs_gut_tseq_title;Say goodbye
spokentexts_junge_top_a01_junge_machs_gut_tseq_st_1;I just remembered, there's something I forgot.
spokentexts_junge_top_a01_junge_machs_gut_tseq_st_3_direction;bold
spokentexts_junge_top_a01_junge_machs_gut_tseq_st_3;That happens at your age!
spokentexts_junge_top_a01_junge_machs_gut_tseq_st_4;So Long.
spokentexts_junge_top_a01_junge_machs_gut_tseq_st_5;So longer!
texts_junge_top_a01_junge_steward_tseq_title;Steward
spokentexts_junge_top_a01_junge_steward_tseq_st_1;Tell me, have you seen the steward anywhere?
spokentexts_junge_top_a01_junge_steward_tseq_st_2;Hmm. Nope. He was walking around a little while ago though.
spokentexts_junge_top_a01_junge_steward_tseq_st_3;Hopefully they didn't forget him in Zurich.
spokentexts_junge_top_a01_junge_steward_tseq_st_4;Hehe.
spokentexts_junge_top_a01_junge_steward_tseq_st_5;What's he supposed to do?
spokentexts_junge_top_a01_junge_steward_tseq_st_6;I'm looking for a key to open a compartment door.
spokentexts_junge_top_a01_junge_steward_tseq_st_7;Did you check his things behind the counter?
spokentexts_junge_top_a01_junge_steward_tseq_st_8;I did. But the most promising drawer was locked.
spokentexts_junge_top_a01_junge_steward_tseq_st_9;I'm sure the drawers will be locked.
spokentexts_junge_top_a01_junge_steward_tseq_st_10;Can't you break it open? Or pick the lock - like the Raven!
spokentexts_junge_top_a01_junge_steward_tseq_st_11;Perhaps. But I'd need a piece of wire or something like that.
spokentexts_junge_top_a01_junge_steward_tseq_st_12;Ask my mom!
spokentexts_junge_top_a01_junge_steward_tseq_st_13;She has a lot of hairpins. She doesn't like the wind messing up her hair.
spokentexts_junge_top_a01_junge_steward_tseq_st_14;Hmm. Thanks for the tip!
texts_junge_top_a01_junge_unkooperativer_geiger_tseq_title;Uncooperative violinist
spokentexts_junge_top_a01_junge_unkooperativer_geiger_tseq_st_1;The violinist won't let me check his violin case.
spokentexts_junge_top_a01_junge_unkooperativer_geiger_tseq_st_2;Of course he won't. He's hiding something!
spokentexts_junge_top_a01_junge_unkooperativer_geiger_tseq_st_3;Should I distract him? Then you can have a look in his case.
texts_junge_top_a01_junge_verschwundene_brieftasche_tseq_title;Missing purse
spokentexts_junge_top_a01_junge_verschwundene_brieftasche_tseq_st_1;Something completely different this time.
