characters_ermittler;Ermittler
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_7_direction;tries to quickly think of something
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_7;Je... Je suis un bon observateur ! Et j'ai un sens aiguisé de la déduction !
sequences_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler#6;[The investigator turns slightly annoyed, points to the Crime Book of Ohi on table.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_8_direction;mocking
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_8;Faut-il remercier ça ?
sequences_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler#12;[Ohi goes a few steps towards the investigators, so they returned to normal conversational distance to each other.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_9_direction;eagerly
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_9;J'ai observé ces gens sur le quai à Zurich !
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_10_direction;eagerly
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_10;Je sais par exemple, que cet homme là-bas est violoniste.
sequences_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler#15;[Scene: The investigator glances for violinists.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_11;Cela aurait été plus impressionnant si il n'avait pas eu un étui à violon à coté de lui.
sequences_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler#17;[The investigator turns around and wants to leave.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_12;Et je pense que le gentleman dans le wagon suivant est un médecin allemand en route pour l'Italie pour occuper un nouveau poste.
sequences_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler#19;[Scene: The investigators thinks for a moment. Then he turns around.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_13_direction;curieux
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_13;Et qu'est-ce qui vous fait penser cela ?
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_15_direction;Il est impatient et plein d'espoir
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_15;Il a le caducée d'Asclépios gravé sur son bouton de manchette. Et il porte un dictionnaire allemand-italien.
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_21;Peut-être qu'il prend simplement des vacances en Italie ? Suivant les traces de Goethe ?
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_22;Trop de bagages.
sequences_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler#30;[Scene: The investigator wants to interject something, but Ohi interrupts him]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_24;Et non, il ne prend pas sa retraite en Italie non plus.
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_25;Ses valises sont trop minable pour moi pour croire qu'il peut se permettre de prendre sa retraite avant la cinquantaine.
sequences_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler#34;[Scene: The investigator thinks for a moment.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_26;Bon, et alors, gendarme...
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_27;Zellner.
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_28;Gendarme Zellner.
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_29_direction;challenging
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_ueberzeugt_ermittler_st_29;Si vous êtes un homme si intelligent... Qu'est-ce que je fais dans ce train ?
sequences_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt#0;[Ohi turns disappointet ... and solidifies. Then he goes into the normal idle. Before him stands the smiling boy with his hands on his hips.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_1_direction;embarrassed
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_1;Oh... Bonjour !
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_2_direction;reproachful
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_2;Vous avez triché.
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_3_direction;uncomprehendingly
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_3;J'ai fait quoi ?
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_4_direction;reproachful
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_4;Je vous ai vu parler à ce docteur allemand sur le quai.
sequences_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt#5;[Ohi feels uncomfortable in his own skin, looking around maybe if he is observed.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_5_direction;reproachfully
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_5;Il vous a dit tout ce que vous venez de dire et vous avez fait semblant de le deviner.
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_6_direction;caught
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_6;Et alors !
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_7;Tu sais qui c'est ? C'est l'inspecteur Nicolas Legrand ! Tu dois l'impressionner si tu veux travailler avec lui !
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_8;Je vais aller lui rapporter !
sequences_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt#10;[Scene: Ohi thinks.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_9;Tu veux vraiment le rapporter ? Au policier qui a abattu ton cher Corbeau ?
sequences_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt#12;[Scene: The boy is shocked.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_10_direction;surprised breath
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_10;Ouah !
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_11;C'était lui ?
sequences_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt#15;[Ohi nods.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_12_direction;According Sound
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_12;Mm-hmm. En traquant et tuant le plus célèbre cambrioleur d'Europe. Voilà comment il a fait ses débuts.
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_13_direction;indignantly
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_13;Je ne lui dirais rien du tout !
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_14_direction;amused
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_14;Je ne le voudrais pas non plus.
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_15;Quel est ton nom déjà ?
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_16;Matthew Miller de Dillsburg en Pennsylvanie.
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_17;Très bien, Matthew Miller de Dillsburg en Pennsylvanie. Je dois retourner travailler maintenant !
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_18;Très bien, Matthew. Je dois retourner travailler maintenant !
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_19;Tout le monde m'appelle Matt.
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_20_direction;slightly disgusted
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_20;"Sauf ma mère. Elle m'appelle ""Matty""."
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_21_direction;indignantly
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_21;Comme si j'étais un gamin !
sequences_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt#26;[Scene: The boy goes away towards saloon car. Ohi stays and looks around.]
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_22_direction;to himself
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_22;Que Legrand veuille mon aide ou pas, je vais garder les yeux ouverts.
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_23_direction;to himself
spokentexts_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt_st_23;Peut-être que je pourrais le faire changer d'avis.
sequences_grossraumwagon_seq_grossraumwagon_oehi_wird_ertappt#29;"[Note: At this point, a question is (possibly as a dialogue option?) Appears if you want to play the tutorial or not. If you want, we continue with ""grossraumwagon_tutorial"". If not, I'll keep moving here and it's as if it has the properties ""handkerchief"", ""sandwich wrap"" and ""apple rest"" never existed.]"
sequences_a00_startintro_seq_a00_startintro_teil_1#0;[Fade-in. Tu vois un diamant précieux.]
sequences_a00_startintro_seq_a00_startintro_teil_1#1;[The camera moves back, you realize that the diamond is part of a necklace. Other jewelery come into the picture. There is a display case in a store.]
spokentexts_a00_startintro_seq_a00_startintro_teil_1_st_1_direction;Frauenstimme1 [from the off]:
spokentexts_a00_startintro_seq_a00_startintro_teil_1_st_1;J'en ai le souffle coupé d'avance !
spokentexts_a00_startintro_seq_a00_startintro_teil_1_st_2_direction;Maennerstimme 1 [from the off]:
spokentexts_a00_startintro_seq_a00_startintro_teil_1_st_2;Vous serez ravis, Mademoiselle Pengry !
sequences_a00_startintro_seq_a00_startintro_teil_1#4;[The camera passes through the cover glass of the display case, moving further and further behind. A large hole in the glass shows up. Including missing jewelry.]
sequences_a00_startintro_seq_a00_startintro_teil_1#5;[The camera moves ever further. On the display case is a spectacle cloth head for necklaces / tiaras. In it is a raven feather. Shadows come into the picture, people have brought to the cabinet.]
spokentexts_a00_startintro_seq_a00_startintro_teil_1_st_3_direction;Frauenstimme1 [from the off, scared]:
spokentexts_a00_startintro_seq_a00_startintro_teil_1_st_3;Ohh !
sequences_a00_startintro_seq_a00_startintro_teil_1#7;[A flash like a camera, including the corresponding sound. Screen is white, slow fade-in of the image.]
sequences_a00_startintro_seq_a00_startintro_teil_4#0;[Slow fade-in. A newspaper. The last shot of the head then the photo is in the newspaper article.]
sequences_a00_startintro_seq_a00_startintro_teil_4#1;[The camera zooms back slowly. One can see hands holding the newspaper.]
sequences_a00_startintro_seq_a00_startintro_teil_4#2;"[This is an English newspaper. The translation of the headline appears: ""The legacy of the Raven's incredible!""]"
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_1_direction;mocking
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_1;"hein, ""L'héritier du Corbeau !"""
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_2_direction;indignantly
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_2;Dès que l'un d'eux est pris, un autre prend sa place !
sequences_a00_startintro_seq_a00_startintro_teil_4#5;"[Cut back. You see a Museumswae behind a ""security bar"" in a dark museum.]"
sequences_a00_startintro_seq_a00_startintro_teil_4#6;[The guard folds the newspaper, puts it away, and turns into the dark half Museum.]
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_3;Hé, Harold ! T'as lu ça ?
sequences_a00_startintro_seq_a00_startintro_teil_4#8;[The guard gets no answer. Irritated, he turns around completely.]
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_4;Harold ?
sequences_a00_startintro_seq_a00_startintro_teil_4#10;[Because still is no reaction, stands guard on the cautious and turns on a flashlight. With the other hand on the gun he goes into a dark corridor.]
sequences_a00_startintro_seq_a00_startintro_teil_4#11;[Cut. Deeper in the corridor (the guard has been a fair bit away from his table). Big Ben in the background is heard. Two clock in the morning.]
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_5_direction;chuchotement, un peu anxieux
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_5;Harold ! Tu m'écoutes ? C'-c'est pas le moment pour jouer a faire des blagues !
sequences_a00_startintro_seq_a00_startintro_teil_4#13;[The guard goes to a larger showroom. In the middle is a display case with the eye of the Sphinx. The guard scans the room, stands close to a wall.]
sequences_a00_startintro_seq_a00_startintro_teil_4#14;[Blurred in the background you can see how is passing a figure.]
sequences_a00_startintro_seq_a00_startintro_teil_4#15;[The Intro_Guard turns, lights in the hallway, but the figure is gone.]
sequences_a00_startintro_seq_a00_startintro_teil_4#16;[The Intro_Guard turns back, light up the guard's face. The Intro_Guard wants to scream, but the security guard keeps his mouth shut. He pulls him into a dark corner.]
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_6;Chut !
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_7;Calmez-vous, je suis policier. Nous sommes du même côté !
sequences_a00_startintro_seq_a00_startintro_teil_4#19;[The guard releases the Intro_Guard. They considered the man who sees that he is in a police uniform.]
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_8;Un policier ? Qu'est-ce que vous faites ici ? Et où est Harold ?
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_9;Harold ? Eh bien, il y a un garde inconscient là-bas. C'est surement lui.
sequences_a00_startintro_seq_a00_startintro_teil_4#22;[The Intro_Guard gets big eyes, a panic is coming.]
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_10;"Cet ""Oeil du Sphinx""... où est-il ?"
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_11;Il est... là.
sequences_a00_startintro_seq_a00_startintro_teil_4#25;[The guard lights on the display case in the middle of the room, The eye glistens.]
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_12_direction;relieved
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_12;Ah, très bien. Il ne l'a pas encore pris donc.
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_13_direction;Growing Panic
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_13;"Vous voulez dire... ""L'héritier du Corbeau""?!"
sequences_a00_startintro_seq_a00_startintro_teil_4#28;[The guard pushes the intro-guard in a dark corner. He pushes him against the wall, wants to prevent the man paniced.]
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_14;Chut ! Éteignez ça.
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_15;Il va voler l'oeil.
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_17;Oui, mais...
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_18;Est-ce que vous comprenez ? Vous et moi, mon ami ! Nous serons des héros !
sequences_a00_startintro_seq_a00_startintro_teil_4#34;[The guard seems happy. He has been waiting for this chance, he finds exciting. The intro guard nods, takes his courage.]
sequences_a00_startintro_seq_a00_startintro_teil_4#35;[The guard nods encouragingly at him, then turns back to the hall. The eye of the Sphinx has disappeared from the display case, instead there is a raven feather.]
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_19_direction;stunned
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_19;Très bien. Maintenant, nous avons juste à...
sequences_a00_startintro_seq_a00_startintro_teil_4#37;[You hear footsteps running down the hallway. The guard is a few steps into the hall, pulling his baton. The Intro_Guard is behind him, pulls out his gun.]
sequences_a00_startintro_seq_a00_startintro_teil_4#38;[A shadow passes through the transition. The guard takes him to target.]
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_20_direction;calls
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_20;ARRÊTEZ !
sequences_a00_startintro_seq_a00_startintro_teil_4#40;[In addition to the two guards exploded a trash can. Debris, dust and smoke takes the view. The Intro_Guard is caught in the explosion and throws through the air. The guard falls flat on his stomach.]
sequences_a00_startintro_seq_a00_startintro_teil_4#41;[Cut to the hallway.]
sequences_a00_startintro_seq_a00_startintro_teil_4#42;[The shadow stood still, looking toward hall. He seems to consider whether he should go back. He makes two steps. But even sirens are heard.]
sequences_a00_startintro_seq_a00_startintro_teil_4#43;[The shadows stand still again looking towards the entrance, which is already illuminated by blue light. He has made ​​a decision and go walking quickly out of sight.]
sequences_a00_startintro_seq_a00_startintro_teil_4#44;[End of intro start.]
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_21;STOP ! VOUS ÊTES EN ÉTAT D'ARRESTATION !
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_22;Mais... Comment le savez-vous ?
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_23;Ça n'a pas d'importance. Tout ce qui importe, c'est que nous l'attrapions. Vous comprenez ?
spokentexts_a00_startintro_seq_a00_startintro_teil_4_st_24;Quoi...?
sequences_intro_seq_intro_teil_1#0;"[On-screen text. ""Deux jours plus tard ...""]"
sequences_intro_seq_intro_teil_1#2;[Scene: fade-in. You see a beautiful valley in the Alps, all is quiet. Slowly you can hear muffled pounding of a train. The train with steam locomotive travels relatively far away from a tunnel and can be heard clearly now. He goes on a long bridge.]
sequences_intro_seq_intro_teil_1#3;[Scene: The title of the game appears when the train is with five cars on the bridge.]
sequences_intro_seq_intro_teil_1#4;[Scene: The train disappears from sight (behind a rock or a rock wall in the foreground).]
sequences_intro_seq_intro_teil_1#5;[Scene: The first credits appear while the train is not visible.]
sequences_intro_seq_intro_teil_1#6;[Scene: The train has become quiet again. But suddenly he rushes out from behind the rocks past the camera. The train is so out of sight down a loop and the camera was all the time close to the tracks. If the locomotive of the camera pass by whistles and it evaporated.]
sequences_intro_seq_intro_teil_2#0;[Scene: The pumping pistons are shown, plus a few credits.]
sequences_intro_seq_intro_teil_2#1;[Scene: Spinning wheels are shown, plus a few credits.]
sequences_intro_seq_intro_teil_2#2;[Scene: A rocking back and forth at a coupling chain is shown, with a few credits.]
sequences_intro_seq_intro_teil_2#3;[Scene: A whistle is shown that moments later whistles. A couple of credits.]
sequences_intro_seq_intro_teil_2#4;[Scene: A window is shown, which reflects the landscape. Then the train goes into a tunnel and suddenly you can look inside the train. A couple of credits.]
sequences_intro_seq_intro_teil_3#0;[Scene: Shot on the nurse and writer.]
sequences_intro_seq_intro_teil_3#1;[The nurse handed a cup of tea to the writer. The writer, accepts, and thanks her for. She takes a spoon and begins to turn in the tea.]
sequences_intro_seq_intro_teil_3#2;[Scene: Some credits appear.]
sequences_intro_seq_intro_teil_3#3;[Scene: Shot on the doctor.]
sequences_intro_seq_intro_teil_3#4;[The doctor reads in the newspaper, leafs through it and keep it so that you can read the headline (idle).]
sequences_intro_seq_intro_teil_3#5;[Scene: The newspaper reports on a jewel heist in London. Some credits appear.]
sequences_intro_seq_intro_teil_3#6;[Scene: Shot in the storage room, the vault. The camera zooms in on it slowly.]
sequences_intro_seq_intro_teil_3#7;[The guard like James Bond moderately rolls onto the screen, trying to pull his gun quickly, but that does not quite succeed. As he did it, he puts it away and tried it all over again.]
sequences_intro_seq_intro_teil_3#8;[Scene: Some credits appear.]
