characters_arzt;Arzt
sequences_a05_pier_seq_a05_pier_ohnmacht_baronin_b#34;[Cut back. The Baroness and the Butler are now up at the captain.]
sequences_a05_nebendeck_seq_a05_nebendeck_oehi_kommt_an_bord#0;[Ohi has reached the end of the gangway, enters the ship.]
sequences_a05_nebendeck_seq_a05_nebendeck_oehi_kommt_an_bord#1;[The captain meets Ohi, holds out his hand. Ohi takes the hand (idle).]
spokentexts_a05_nebendeck_seq_a05_nebendeck_oehi_kommt_an_bord_st_1;Who do we have here?
spokentexts_a05_nebendeck_seq_a05_nebendeck_oehi_kommt_an_bord_st_2;Signore...
sequences_a05_nebendeck_seq_a05_nebendeck_oehi_kommt_an_bord#4;[Cut to the investigator.]
spokentexts_a05_nebendeck_seq_a05_nebendeck_oehi_kommt_an_bord_st_3;This is Constable Anton Zellner.
sequences_a05_nebendeck_seq_a05_nebendeck_oehi_kommt_an_bord#6;[Cut to the captain over Ohis shoulder. The captain gets big eyes looking forward.]
spokentexts_a05_nebendeck_seq_a05_nebendeck_oehi_kommt_an_bord_st_4;Signore Zellner!
spokentexts_a05_nebendeck_seq_a05_nebendeck_oehi_kommt_an_bord_st_5;I heard about your feats in the mountains!
spokentexts_a05_nebendeck_seq_a05_nebendeck_oehi_kommt_an_bord_st_6;Welcome aboard the MS Lydia!
sequences_a05_nebendeck_seq_a05_nebendeck_oehi_kommt_an_bord#10;[Cut to all three.]
spokentexts_a05_nebendeck_seq_a05_nebendeck_oehi_kommt_an_bord_st_7;Thank you captain.
sequences_a05_nebendeck_seq_a05_nebendeck_oehi_kommt_an_bord#12;[The two let go of each other.]
spokentexts_a05_nebendeck_seq_a05_nebendeck_oehi_kommt_an_bord_st_8;I didn't know you'd be taking part in the journey. But I'm glad to have you with us!
spokentexts_a05_nebendeck_seq_a05_nebendeck_oehi_kommt_an_bord_st_9;I'll have a nice cabin prepared for you immediately!
spokentexts_a05_nebendeck_seq_a05_nebendeck_oehi_kommt_an_bord_st_10;The constable will not be joining us. He has other duties.
spokentexts_a05_nebendeck_seq_a05_nebendeck_oehi_kommt_an_bord_st_11_direction;regretful
spokentexts_a05_nebendeck_seq_a05_nebendeck_oehi_kommt_an_bord_st_11;Oh!
spokentexts_a05_nebendeck_seq_a05_nebendeck_oehi_kommt_an_bord_st_12;That's too bad!
spokentexts_a05_nebendeck_seq_a05_nebendeck_oehi_kommt_an_bord_st_13;I would have loved to hear about his adventures from the man himself!
texts_a05_ermittler_top_a05_ermittler_auto_verdient_mitzukommen_tseq_title;Deserves to come along
spokentexts_a05_ermittler_top_a05_ermittler_auto_verdient_mitzukommen_tseq_st_1_direction;annoyed
spokentexts_a05_ermittler_top_a05_ermittler_auto_verdient_mitzukommen_tseq_st_1;And what about the ship? I have earned the right to join you.
spokentexts_a05_ermittler_top_a05_ermittler_auto_verdient_mitzukommen_tseq_st_2;I DESERVE to come along!
spokentexts_a05_ermittler_top_a05_ermittler_auto_verdient_mitzukommen_tseq_st_3_direction;exhales frustrated
spokentexts_a05_ermittler_top_a05_ermittler_auto_verdient_mitzukommen_tseq_st_3;*sigh*
sequences_a05_ermittler_top_a05_ermittler_auto_verdient_mitzukommen_tseq#5;[Investigator turns to Ohi. (Idle).]
spokentexts_a05_ermittler_top_a05_ermittler_auto_verdient_mitzukommen_tseq_st_4_direction;understandingly, wants keep talking, but is interrupted
spokentexts_a05_ermittler_top_a05_ermittler_auto_verdient_mitzukommen_tseq_st_4;What you did was extraordinary. Far more than anyone could have a right to expect from you.
spokentexts_a05_ermittler_top_a05_ermittler_auto_verdient_mitzukommen_tseq_st_5;And you still want to leave me behind?
sequences_a05_ermittler_top_a05_ermittler_auto_verdient_mitzukommen_tseq#8;[Cut to the investigator.]
spokentexts_a05_ermittler_top_a05_ermittler_auto_verdient_mitzukommen_tseq_st_8;You met our foe and barely escaped with your life. You may not be that lucky next time.
spokentexts_a05_ermittler_top_a05_ermittler_auto_verdient_mitzukommen_tseq_st_9_direction;protests
spokentexts_a05_ermittler_top_a05_ermittler_auto_verdient_mitzukommen_tseq_st_9;"It wasn't ""luck""!"
spokentexts_a05_ermittler_top_a05_ermittler_auto_verdient_mitzukommen_tseq_st_10;You can return to Switzerland with your head held high. Enjoy your triumph!
spokentexts_a05_ermittler_top_a05_ermittler_auto_verdient_mitzukommen_tseq_st_11;I have not achieved anything yet! The fiend tried to kill us and he's still at large!
sequences_a05_ermittler_top_a05_ermittler_auto_verdient_mitzukommen_tseq#16;[Investigator gives him a quick glance, smiling. He knows how Ohi feels.]
spokentexts_ermittler_top_a05_ermittler_auto_ich_komme_mit_tseq_st_6;We're here.
texts_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq_title;Events in the tunnel
sequences_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq#0;[Cut to Ohi.]
spokentexts_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq_st_1;What else did you find out in the tunnel?
sequences_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq#2;[Cut to the investigator.]
spokentexts_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq_st_2;Not much. After we came out of the tunnel, Robert and I questioned the passengers.
spokentexts_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq_st_3;Which didn't turn up anything new.
spokentexts_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq_st_4_direction;affirmative 'no'
spokentexts_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq_st_4;No. The engineer and the fireman were missing. They were found a few kilometers back on the track.
spokentexts_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq_st_5_direction;dubiously
spokentexts_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq_st_5;Both claim to have been overwhelmed by a shadow and thrown off  the train.
sequences_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq#7;[Cut to Ohi.]
spokentexts_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq_st_6_direction;surprised
spokentexts_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq_st_6;But you don't believe that?
spokentexts_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq_st_7;I'm checking their stories. One of them may have been paid to eliminate the other one.
spokentexts_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq_st_8;How could the Raven's heir have found out about the trap? How was he able to put the dynamite in the box and place the letter?
sequences_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq#11;[Cut to the investigator.]
spokentexts_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq_st_9;The dynamite was probably already in the box when I put it in the safe. I didn't check it.
spokentexts_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq_st_11;You had no reason to do so.
spokentexts_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq_st_12_direction;frustrated
spokentexts_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq_st_12;It wasn't my only mistake. I KNEW someone was on the roof of the freight car. But I let myself be distracted by that damned letter.
spokentexts_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq_st_13_direction;irritated
spokentexts_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq_st_13;How did you know...
sequences_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq#17;[The investigator shakes his head briefly.]
spokentexts_a05_ermittler_top_a05_ermittler_auto_vorkommnisse_im_tunnel_tseq_st_14;Too late. I should have reacted instantly.
texts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_title;Offer help
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_1;Let's review.
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_2;One of the two most valuable jewels in the world was stolen.
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_3;Obviously, the second one will be next.
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_4;And you suspect a legendary burglar who's been dead for five years...
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_6_direction;interested
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_6;Go on...
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_7;The second jewel is about to be put on board over there. In a safe that requires three keys.
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_8;Our thief may already have the first key, the archaeologist's key, from the train.
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_9;We don't know anything about the status of the second key, which was meant to be air freighted to Cairo.
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_10;We have to assume that he already has it.
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_11;Therefore there's just one key left: the baroness'.
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_12;Correct.
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_13;So you'll need my eyes on board!
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_14;Look, you can keep your eyes open for me here on the wharf. I'd be most grateful.
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_15;But when this ship sets sail, you will not - I repeat, not - be on board.
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_16_direction;protests, is interrupted
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_16;But inspector...
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_17;We're dealing with a dangerous man and I will pursue him regardless of the consequences.
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_18;I won't let you get mixed up in this affair.
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_20_direction;interrupts
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_20;It's still my decision.
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_21;No, it is not. It's mine and I've already made it.
spokentexts_a05_ermittler_top_a05_ermittler_pier_hilfe_anbieten_tseq_st_22;Good day, Constable Zellner.
texts_a05_ermittler_top_a05_ermittler_pier_rabe_ist_tot_tseq_title;The Raven
spokentexts_a05_ermittler_top_a05_ermittler_pier_rabe_ist_tot_tseq_st_1_direction;scared
spokentexts_a05_ermittler_top_a05_ermittler_pier_rabe_ist_tot_tseq_st_1;But... What do you mean by that?
spokentexts_a05_ermittler_top_a05_ermittler_pier_rabe_ist_tot_tseq_st_2;You think it's really possible that you didn't get the Raven back then?
spokentexts_a05_ermittler_top_a05_ermittler_pier_rabe_ist_tot_tseq_st_4;Let us assume, just for a moment, that the person I shot and who fell from the roof was not the Raven.
spokentexts_a05_ermittler_top_a05_ermittler_pier_rabe_ist_tot_tseq_st_5;Who would have cared enough to uncover the truth?
spokentexts_a05_ermittler_top_a05_ermittler_pier_rabe_ist_tot_tseq_st_6;The chief of police? The politicians? No. They wanted to revel in a successful manhunt.
spokentexts_a05_ermittler_top_a05_ermittler_pier_rabe_ist_tot_tseq_st_7;And it was the best thing that could have happened to the Raven! The search for him was over.
spokentexts_a05_ermittler_top_a05_ermittler_pier_rabe_ist_tot_tseq_st_8;He had no reason to fear me anymore - I had so many medals afterwards that he could hear them jingling kilometers away.
spokentexts_a05_ermittler_top_a05_ermittler_pier_rabe_ist_tot_tseq_st_9_direction;dubiously
spokentexts_a05_ermittler_top_a05_ermittler_pier_rabe_ist_tot_tseq_st_9;And now... he's back? And you're the only one who can stop him?
spokentexts_a05_ermittler_top_a05_ermittler_pier_rabe_ist_tot_tseq_st_10;Does that sound probable to you?
spokentexts_a05_ermittler_top_a05_ermittler_pier_rabe_ist_tot_tseq_st_11;"The feathers, the letters. ""Nico"". No one outside the police force knew that the Raven used to call me that in his letters."
spokentexts_a05_ermittler_top_a05_ermittler_pier_rabe_ist_tot_tseq_st_16;Policemen gossip and there are plenty of forgers. You can't seriously intend to stake your reputation on such weak evidence!
spokentexts_a05_ermittler_top_a05_ermittler_pier_rabe_ist_tot_tseq_st_13_direction;thoughtful, quietly
spokentexts_a05_ermittler_top_a05_ermittler_pier_rabe_ist_tot_tseq_st_13;My reputation rests on something that I probably did not do.
spokentexts_a05_ermittler_top_a05_ermittler_pier_rabe_ist_tot_tseq_st_17_direction;convinced loud
spokentexts_a05_ermittler_top_a05_ermittler_pier_rabe_ist_tot_tseq_st_17;I have to find out who's behind all this.
texts_a05_ermittler_top_a05_ermittler_pier_telegramm_tseq_title;Telegram
sequences_a05_ermittler_top_a05_ermittler_pier_telegramm_tseq#0;[Ohi points to the water in the harbor.]
spokentexts_a05_ermittler_top_a05_ermittler_pier_telegramm_tseq_st_1;I hope you're aware of the fact that you're risking your career?
spokentexts_a05_ermittler_top_a05_ermittler_pier_telegramm_tseq_st_2_direction;gloomy
spokentexts_a05_ermittler_top_a05_ermittler_pier_telegramm_tseq_st_2;Indeed I am.
sequences_a05_ermittler_top_a05_ermittler_pier_telegramm_tseq#3;[The investigator looks past Ohi to the lagoon.]
spokentexts_a05_ermittler_top_a05_ermittler_pier_telegramm_tseq_st_3;Why do you care so much about this case?
spokentexts_a05_ermittler_top_a05_ermittler_pier_telegramm_tseq_st_4;Someone pretends to be the Raven and you promptly risk your career?
spokentexts_a05_ermittler_top_a05_ermittler_pier_telegramm_tseq_st_5_direction;gloomy
spokentexts_a05_ermittler_top_a05_ermittler_pier_telegramm_tseq_st_5;What if he's not just pretending?
spokentexts_a05_ermittler_top_a05_ermittler_pier_telegramm_tseq_st_6_direction;irritated
spokentexts_a05_ermittler_top_a05_ermittler_pier_telegramm_tseq_st_6;What do you mean by that?
spokentexts_a05_ermittler_top_a05_ermittler_pier_telegramm_tseq_st_7;"It's his handwriting! And there's only one person who ever called me ""Nico""."
sequences_a05_ermittler_top_a05_ermittler_pier_telegramm_tseq#12;[As he speaks, he turns his head back in the direction Ohis.]
spokentexts_a05_ermittler_top_a05_ermittler_pier_telegramm_tseq_st_11;Have you ever considered the possibility that I shot the wrong man?
texts_a05_ermittler_top_a05_ermittler_pier_tresor_tseq_title;Safe
spokentexts_a05_ermittler_top_a05_ermittler_pier_tresor_tseq_st_1;And the second Eye is in that safe?
sequences_a05_ermittler_top_a05_ermittler_pier_tresor_tseq#1;[Cut to the vault that is being loaded.]
spokentexts_a05_ermittler_top_a05_ermittler_pier_tresor_tseq_st_2;Yes. An emerald.
spokentexts_a05_ermittler_top_a05_ermittler_pier_tresor_tseq_st_3;It's been kept in a bank in Zurich since the start of the war.
sequences_a05_ermittler_top_a05_ermittler_pier_tresor_tseq#4;[Cut back to Ohi and the investigator.]
spokentexts_a05_ermittler_top_a05_ermittler_pier_tresor_tseq_st_4;I personally took it out of the bank vault and Professor Lucien certified that it was the real thing.
spokentexts_a05_ermittler_top_a05_ermittler_pier_tresor_tseq_st_5;And while a fake jewel was sent by train...
spokentexts_a05_ermittler_top_a05_ermittler_pier_tresor_tseq_st_6;...the real one was brought here in an armored car.
spokentexts_a05_ermittler_top_a05_ermittler_pier_tresor_tseq_st_7;How is it protected?
spokentexts_a05_ermittler_top_a05_ermittler_pier_tresor_tseq_st_8;You can only open the safe if you have three special keys.
spokentexts_a05_ermittler_top_a05_ermittler_pier_tresor_tseq_st_9;Professor Lucien has one and Baroness von Trebitz, who's paying for all this, has the second. The third was sent by air courier to Dr. Abbas Mokhtar, the director of the Egyptian Museum in Cairo.
spokentexts_a05_ermittler_top_a05_ermittler_pier_tresor_tseq_st_10;So not even you could possibly open the safe before it arrives in Egypt?
spokentexts_a05_ermittler_top_a05_ermittler_pier_tresor_tseq_st_11;That's correct. We don't want to make it too easy for potential thieves.
spokentexts_a05_ermittler_top_a05_ermittler_pier_tresor_tseq_st_12;Commendable.
texts_a05_ermittler_top_a05_ermittler_pier_wachmann_tseq_title;Constable
spokentexts_a05_ermittler_top_a05_ermittler_pier_wachmann_tseq_st_1;What is the constable's problem with me?
spokentexts_a05_ermittler_top_a05_ermittler_pier_wachmann_tseq_st_2;Why does Constable Oliver have a problem with me?
spokentexts_a05_ermittler_top_a05_ermittler_pier_wachmann_tseq_st_3_direction;silent laughter
spokentexts_a05_ermittler_top_a05_ermittler_pier_wachmann_tseq_st_3;Hmm! I think he's jealous.
spokentexts_a05_ermittler_top_a05_ermittler_pier_wachmann_tseq_st_4;Scotland Yard assigned him to assist me, just as you were sent by the Swiss authorities.
spokentexts_a05_ermittler_top_a05_ermittler_pier_wachmann_tseq_st_5_direction;embittered
spokentexts_a05_ermittler_top_a05_ermittler_pier_wachmann_tseq_st_5;With the distinction that HE may go to Egypt.
spokentexts_a05_ermittler_top_a05_ermittler_pier_wachmann_tseq_st_6;Robert is to accompany me at all times. Your mission was restricted to Switzerland.
spokentexts_a05_ermittler_top_a05_ermittler_pier_wachmann_tseq_st_8;At this moment, I want to be sent back to Switzerland just as much as you want to be sent back to Paris.
spokentexts_a05_ermittler_top_a05_ermittler_pier_wachmann_tseq_st_9_direction;seriously
spokentexts_a05_ermittler_top_a05_ermittler_pier_wachmann_tseq_st_9;I know. But I'm walking on thin ice - and I can't carry you, too!
texts_ermittler_top_a03_ermittler_pier_abfahrt_tseq_title;Ready to start
spokentexts_ermittler_top_a03_ermittler_pier_abfahrt_tseq_st_1;Let's set sail!
spokentexts_ermittler_top_a03_ermittler_pier_abfahrt_tseq_st_2;I will set sail. You will not.
texts_ermittler_top_a05_ermittler_auto_ich_komme_mit_tseq_title;I will come along
spokentexts_ermittler_top_a05_ermittler_auto_ich_komme_mit_tseq_st_1;I'm coming with you, full stop!
spokentexts_ermittler_top_a05_ermittler_auto_ich_komme_mit_tseq_st_2;The thief was able to place ten sticks of dynamite in a cash box right under my nose.
spokentexts_ermittler_top_a05_ermittler_auto_ich_komme_mit_tseq_st_3;For all we know, you could already be sitting on the next bomb.
sequences_ermittler_top_a05_ermittler_auto_ich_komme_mit_tseq#3;[Ohi surprised looks down, he slides back and fourth a little nervous.]
spokentexts_ermittler_top_a05_ermittler_auto_ich_komme_mit_tseq_st_4;You cannot come.
spokentexts_ermittler_top_a05_ermittler_auto_ich_komme_mit_tseq_st_5_direction;to protest
spokentexts_ermittler_top_a05_ermittler_auto_ich_komme_mit_tseq_st_5;But inspector...
sequences_ermittler_top_a05_ermittler_auto_ich_komme_mit_tseq#7;[Continue with the arrival at the pier.]
texts_wachmann_mo_ex_1;Look at Constable Oliver
texts_wachmann_mo_talk_1;Talk to the constable
texts_a05_wachmann_top_a05_wachmann_der_rabe_tseq_title;The Raven
spokentexts_a05_wachmann_top_a05_wachmann_der_rabe_tseq_st_1;Did Legrand tell you about his theory? That it could be the real Raven?
spokentexts_a05_wachmann_top_a05_wachmann_der_rabe_tseq_st_2_direction;conceited
spokentexts_a05_wachmann_top_a05_wachmann_der_rabe_tseq_st_2;Of course he did! We're partners.
spokentexts_a05_wachmann_top_a05_wachmann_der_rabe_tseq_st_3;But the modus operandi doesn't fit at all! The Raven wasn't a bomber!
spokentexts_a05_wachmann_top_a05_wachmann_der_rabe_tseq_st_5;We have the letter. And the feather. That's his symbol.
spokentexts_a05_wachmann_top_a05_wachmann_der_rabe_tseq_st_6;Anyone can put a feather in an envelope!
spokentexts_a05_wachmann_top_a05_wachmann_der_rabe_tseq_st_7;You would know.
spokentexts_a05_wachmann_top_a05_wachmann_der_rabe_tseq_st_8_direction;irritated, angry
spokentexts_a05_wachmann_top_a05_wachmann_der_rabe_tseq_st_8;What's that supposed the mean?
sequences_a05_wachmann_top_a05_wachmann_der_rabe_tseq#8;[The guard turns around.]
spokentexts_a05_wachmann_top_a05_wachmann_der_rabe_tseq_st_10;It was YOU.
spokentexts_a05_wachmann_top_a05_wachmann_der_rabe_tseq_st_11_direction;irritated
spokentexts_a05_wachmann_top_a05_wachmann_der_rabe_tseq_st_11;What was me?
spokentexts_a05_wachmann_top_a05_wachmann_der_rabe_tseq_st_12;YOU put the envelope on the safe!
spokentexts_a05_wachmann_top_a05_wachmann_der_rabe_tseq_st_13_direction;doubting
spokentexts_a05_wachmann_top_a05_wachmann_der_rabe_tseq_st_13;To blow myself up?!
spokentexts_a05_wachmann_top_a05_wachmann_der_rabe_tseq_st_14;You threw the bomb away and now you're the famous hero, right? And the Raven must have paid you pretty well...
spokentexts_a05_wachmann_top_a05_wachmann_der_rabe_tseq_st_15;That is ridiculous!
spokentexts_a05_wachmann_top_a05_wachmann_der_rabe_tseq_st_16;Is it?
spokentexts_a05_wachmann_top_a05_wachmann_verabschieden_tseq_st_11;Only you and I and Legrand were in the freight car.
spokentexts_a05_wachmann_top_a05_wachmann_verabschieden_tseq_st_12;One of us must have put the envelope on the safe.
spokentexts_a05_wachmann_top_a05_wachmann_der_rabe_tseq_st_19;Legrand didn't. And I didn't.
spokentexts_a05_wachmann_top_a05_wachmann_verabschieden_tseq_st_13;Think about it.
sequences_a05_wachmann_top_a05_wachmann_der_rabe_tseq#21;[The guard is passing Ohi to go on the ship.]
texts_a05_wachmann_top_a05_wachmann_tunnel_tseq_title;Good job in the tunnel
spokentexts_a05_wachmann_top_a05_wachmann_tunnel_tseq_st_1;I just wanted to say that you did a good job in the tunnel.
spokentexts_a05_wachmann_top_a05_wachmann_tunnel_tseq_st_2;Hmm. Thanks.
spokentexts_a05_wachmann_top_a05_wachmann_tunnel_tseq_st_3_direction;sneaky
spokentexts_a05_wachmann_top_a05_wachmann_tunnel_tseq_st_3;How did you know how to get the train moving?
spokentexts_a05_wachmann_top_a05_wachmann_tunnel_tseq_st_4;I come from a family of miners.  And my uncle is an engine driver down the mine.
spokentexts_a05_wachmann_top_a05_wachmann_tunnel_tseq_st_5;I see. And you looked over his shoulder?
spokentexts_a05_wachmann_top_a05_wachmann_tunnel_tseq_st_6;Yes. Best way to learn.
texts_a05_wachmann_top_a05_wachmann_verabschieden_tseq_title;Say goodbye
spokentexts_a05_wachmann_top_a05_wachmann_verabschieden_tseq_st_1;"I guess this is ""goodbye""."
spokentexts_a05_wachmann_top_a05_wachmann_verabschieden_tseq_st_2;Unless you find a way to get on board.
spokentexts_a05_wachmann_top_a05_wachmann_verabschieden_tseq_st_3;How do you mean that?
sequences_a05_wachmann_top_a05_wachmann_verabschieden_tseq#3;[The guard turns around.]
spokentexts_a05_wachmann_top_a05_wachmann_verabschieden_tseq_st_4;Well, you seem to be very lucky indeed.
spokentexts_a05_wachmann_top_a05_wachmann_verabschieden_tseq_st_5_direction;irritated
spokentexts_a05_wachmann_top_a05_wachmann_verabschieden_tseq_st_5;I was nearly blown to smithereens! 
spokentexts_a05_wachmann_top_a05_wachmann_verabschieden_tseq_st_6;Right, nearly. Instead, you threw the bomb away and became the famous hero, didn't you?
spokentexts_a05_wachmann_top_a05_wachmann_verabschieden_tseq_st_7_direction;doubting
spokentexts_a05_wachmann_top_a05_wachmann_verabschieden_tseq_st_7;You're saying I'm mixed up in this caper?
sequences_a05_wachmann_top_a05_wachmann_verabschieden_tseq#14;[The guard is passing Ohi to go on the ship.]
spokentexts_wachmann_ex_1_st_1;Constable Oliver seems to be a little simplistic. But I don't think he's a bad policeman.
spokentexts_wachmann_ex_1_st_2;The way he reacted in the tunnel - and got the train moving... Hats off!
spokentexts_wachmann_talk_mit_1_st_1;Hello, Constable Olivier!
sequences_wachmann_talk_mit_1#2;[The guard is looking over his shoulder, looks back towards safe (does not turn around).]
spokentexts_wachmann_talk_mit_1_st_2;"It's ""Oliver""."
texts_arzt_mo_berachten_1;Look at Dr. Gebhardt
texts_arzt_mo_talk_mit_1;Talk to Dr. Gebhardt
texts_arzt_top_a05_arzt_baronin_tseq_title;The baroness
spokentexts_arzt_top_a05_arzt_baronin_tseq_st_1;What do you know about the baroness?
spokentexts_arzt_top_a05_arzt_baronin_tseq_st_2;Nothing, really.
spokentexts_arzt_top_a05_arzt_baronin_tseq_st_3;Did you talk to her in the tunnel?
spokentexts_arzt_top_a05_arzt_baronin_tseq_st_4;No. Her butler was looking after her and I was busy with Ms. Miller.
spokentexts_arzt_top_a05_arzt_baronin_tseq_st_5;As you can imagine, it was a shock for her to see her son rolling away on a burning train.
spokentexts_arzt_top_a05_arzt_baronin_tseq_st_6;That's understandable.
spokentexts_arzt_top_a05_arzt_baronin_tseq_st_7;So we were all glad when we heard about your brave deed!
texts_arzt_top_a05_arzt_held_der_stunde_tseq_title;The hero of the hour
spokentexts_arzt_top_a05_arzt_held_der_stunde_tseq_st_1;The hero of the hour but out of work soon.
spokentexts_arzt_top_a05_arzt_held_der_stunde_tseq_st_2;You won't be a policeman anymore?!
spokentexts_arzt_top_a05_arzt_held_der_stunde_tseq_st_3;Yes. But on my old beat.
spokentexts_arzt_top_a05_arzt_held_der_stunde_tseq_st_4;Which is almost as good as being out of work.
spokentexts_arzt_top_a05_arzt_held_der_stunde_tseq_st_5_direction;giggles
spokentexts_arzt_top_a05_arzt_held_der_stunde_tseq_st_5;Mmm-hmm. I understand.
texts_arzt_top_a05_arzt_kapitaen_tseq_title;Captain of the ship
spokentexts_arzt_top_a05_arzt_kapitaen_tseq_st_1;Have you already met the captain?
spokentexts_arzt_top_a05_arzt_kapitaen_tseq_st_2_direction;solemnly
spokentexts_arzt_top_a05_arzt_kapitaen_tseq_st_2;Mario di Conti!
spokentexts_arzt_top_a05_arzt_kapitaen_tseq_st_3;Heard of him?
spokentexts_arzt_top_a05_arzt_kapitaen_tseq_st_4;Should I have?
spokentexts_arzt_top_a05_arzt_kapitaen_tseq_st_5;He's something of a star in Italy. A war hero!
spokentexts_arzt_top_a05_arzt_kapitaen_tseq_st_6;In the First World War, when he was a young man, he sank more enemy ships than anyone else.
spokentexts_arzt_top_a05_arzt_kapitaen_tseq_st_7;In the Second World War, well...
spokentexts_arzt_top_a05_arzt_kapitaen_tseq_st_8;He had some... personal... problems.
spokentexts_arzt_top_a05_arzt_kapitaen_tseq_st_9;You mean like the ones you buy in bottles and pillboxes?
spokentexts_arzt_top_a05_arzt_kapitaen_tseq_st_10_direction;embarrassed
spokentexts_arzt_top_a05_arzt_kapitaen_tseq_st_10;Mmm. You could say that.
spokentexts_arzt_top_a05_arzt_kapitaen_tseq_st_11;Anyway, sending him into combat was out of the question. They gave him a supply ship instead. And he became a hero again.
spokentexts_arzt_top_a05_arzt_kapitaen_tseq_st_13;His ship, part of a convoy from Palermo to North Africa, was the only one that made it, with an extra 100 seamen who he rescued from the other ships.
spokentexts_arzt_top_a05_arzt_kapitaen_tseq_st_14;Impressive!
spokentexts_arzt_top_a05_arzt_kapitaen_tseq_st_15;To say his health is rather shaky these days, would be an understatement.
spokentexts_arzt_top_a05_arzt_kapitaen_tseq_st_16;I think most of my time on board will be spent dealing with his numerous ailments.
texts_arzt_top_a05_arzt_neuer_arbeitsplatz_tseq_title;The ship
spokentexts_arzt_top_a05_arzt_neuer_arbeitsplatz_tseq_st_1;Is your new job bothering you?
spokentexts_arzt_top_a05_arzt_neuer_arbeitsplatz_tseq_st_2;On the contrary!
spokentexts_arzt_top_a05_arzt_neuer_arbeitsplatz_tseq_st_3;I wasn't sure whether I made the right decision until now.
spokentexts_arzt_top_a05_arzt_neuer_arbeitsplatz_tseq_st_4;I'm from the Black Forest, you know. There are only mountains there, no ships!
